country,subindex_score,rank,area,indicator,id
Argentina,0.24626089962662356,40th,Final Economy Score,,0.5
Argentina,0.12083867184955156,36th,All,GDP per Capita PPP,1.0
Argentina,0.6742424242424243,25th,All,Unemployment Rate,2.0
Argentina,0.0,41st,All,Inflation Rate,3.0
Argentina,0.10197368421052629,36th,All,Local purchasing power index (points),4.0
Argentina,0.1228895343637145,30th,All,Average monthly wage,5.0
Argentina,0.4757580715532285,-,All,Business Confidence,6.0
Argentina,0.3690499419663882,38th,Happiness and Freedom Score,,6.5
Argentina,0.0,36th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Argentina,0.6957928802588997,22nd,Happiness and Freedom,Personal freedom score,8.0
Argentina,0.49123337363966146,29th,Happiness and Freedom,Happiness index,9.0
Argentina,0.0,41st,Happiness and Freedom,Economic freedom score,10.0
Argentina,0.5454545454545454,7th,Happiness and Freedom,Depression rate,11.0
Argentina,0.7709923664122138,12th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Argentina,0.41082475358437454,28th,Education & Healthcare Score,,12.5
Argentina,0.38,30th,Education & Healthcare,International Education Database,13.0
Argentina,0.30001938048201837,19th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Argentina,0.9187598099705128,14th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Argentina,0.9340695607476145,2nd,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Argentina,0.4124037543235909,29th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Argentina,0.299534058131795,21st,Education & Healthcare,CEO health care index,18.0
Argentina,0.12,38th,Education & Healthcare,Legatum health care ranking,19.0
Argentina,0.5480769230769234,22nd,Education & Healthcare,Numbeo health index,20.0
Argentina,0.6046020688199282,13th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Argentina,0.25526468877254216,-,Education & Healthcare,Hospital Beds,22.0
Argentina,0.6230526516681248,30th,"Climate, Safety and Security Score",,22.5
Argentina,0.8588754134509371,7th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Argentina,0.8464846400374575,9th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Argentina,0.6384292417880959,34th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Argentina,0.770528391207866,35th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Argentina,0.16666666666666674,36th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Argentina,0.0556706487087099,26th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Argentina,0.679279356415329,36th,Poverty and Equality Score,,28.5
Argentina,0.8095238095238095,26th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Argentina,0.8637491977567143,34th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Argentina,0.2795031055900621,39th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Argentina,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Argentina,0.6787764805165298,24th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Argentina,0.8333333333333333,9th,Poverty and Equality,Gender wage gap (%),34.0
Argentina,0.42105263157894735,37th,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Argentina,0.8880813066720262,6th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Argentina,0.48253755049423847,36th,Final Cost of living Score,,36.5
Argentina,0.15348837209302324,40th,All,Price to Income Ratio (%),37.0
Argentina,0.0,41st,All,Mortgage affordability index,38.0
Argentina,0.9579646017699115,2nd,All,Rent cost index (points),39.0
Argentina,0.46751863684771033,14th,All,Personal Income Tax Rate,40.0
Argentina,0.9988674971687429,2nd,All,Groceries cost index (points),41.0
Argentina,0.8696109358569926,5th,All,Restaurant cost index (points),42.0
Argentina,0.2797575141597582,38th,Final Growth and Development Score,,42.5
Argentina,0.0,41st,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Argentina,0.05797599216911954,17th,All,"International tourism, number of arrivals",44.0
Argentina,0.03006736365969905,31st,All,Net migration,45.0
Argentina,0.8695096667459138,3rd,All,Exports of goods and services (annual % growth),46.0
Argentina,0.4523312456506611,11th,All,Full Year GDP Growth,47.0
Argentina,0.8773836355524078,6th,All,Population growth (annual %),48.0
Argentina,0.4086010559500393,38th,Final Score,,
Argentina,0.46902853931174593,37th,Final Quality of Life Score,,
