country,subindex_score,rank,area,indicator,id
Finland,0.58098976456024,19th,Final Economy Score,,0.5
Finland,0.41645855501748136,12th,All,GDP per Capita PPP,1.0
Finland,0.6287878787878787,28th,All,Unemployment Rate,2.0
Finland,0.9361909400876766,24th,All,Inflation Rate,3.0
Finland,0.781798245614035,11th,All,Local purchasing power index (points),4.0
Finland,0.5243917637933587,8th,All,Average monthly wage,5.0
Finland,0.20157068062827221,33rd,All,Business Confidence,6.0
Finland,0.6949184464094419,11th,Happiness and Freedom Score,,6.5
Finland,0.4,19th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Finland,0.9611650485436896,3rd,Happiness and Freedom,Personal freedom score,8.0
Finland,1.0,1st,Happiness and Freedom,Happiness index,9.0
Finland,0.7914285714285715,17th,Happiness and Freedom,Economic freedom score,10.0
Finland,0.1363636363636367,34th,Happiness and Freedom,Depression rate,11.0
Finland,0.5076335877862596,32nd,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Finland,0.7318238997993102,4th,Education & Healthcare Score,,12.5
Finland,0.88,7th,Education & Healthcare,International Education Database,13.0
Finland,0.19016182684934416,27th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Finland,0.8716640469958277,28th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Finland,0.5624243404208417,29th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Finland,0.7958352147870935,11th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Finland,0.5757710228533394,11th,Education & Healthcare,CEO health care index,18.0
Finland,0.92,5th,Education & Healthcare,Legatum health care ranking,19.0
Finland,0.8108974358974357,7th,Education & Healthcare,Numbeo health index,20.0
Finland,0.47640911969601013,23rd,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Finland,0.14485165794066318,21st,Education & Healthcare,Hospital Beds,22.0
Finland,0.794545961744852,8th,"Climate, Safety and Security Score",,22.5
Finland,0.8790885703785373,4th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Finland,0.5834722237809544,30th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Finland,0.9918498394665349,6th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Finland,0.9373434810413921,27th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Finland,0.875,9th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Finland,0.1741901190256843,17th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Finland,0.9044780648623134,8th,Poverty and Equality Score,,28.5
Finland,1.0,1st,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Finland,1.0,1st,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Finland,0.8633540372670807,24th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Finland,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Finland,0.8321763226661696,7th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Finland,0.5141076115485563,30th,Poverty and Equality,Gender wage gap (%),34.0
Finland,0.9298245614035088,10th,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Finland,0.9198093940677077,3rd,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Finland,0.530177012863914,24th,Final Cost of living Score,,36.5
Finland,0.8465116279069768,7th,All,Price to Income Ratio (%),37.0
Finland,0.7777777777777779,4th,All,Mortgage affordability index,38.0
Finland,0.6084070796460177,26th,All,Rent cost index (points),39.0
Finland,0.0,41st,All,Personal Income Tax Rate,40.0
Finland,0.6308040770101926,30th,All,Groceries cost index (points),41.0
Finland,0.41114616193480535,35th,All,Restaurant cost index (points),42.0
Finland,0.42217767843271664,20th,Final Growth and Development Score,,42.5
Finland,0.7631091308391788,11th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Finland,0.002138036441070907,40th,All,"International tourism, number of arrivals",44.0
Finland,0.05189291189998821,25th,All,Net migration,45.0
Finland,0.678084144705226,5th,All,Exports of goods and services (annual % growth),46.0
Finland,0.22964509394572022,37th,All,Full Year GDP Growth,47.0
Finland,0.7389060744308336,25th,All,Population growth (annual %),48.0
Finland,0.6439923299807244,11th,Final Score,,
Finland,0.7578647576505178,5th,Final Quality of Life Score,,
